"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"MINK1",457.954035348849,0.668732569950323,0.0882799691421688,4.63727396056324e-15,6.14352924330915e-13
"MLLT1",281.572331567763,0.641310977930006,0.0844011756006259,4.62679584058232e-15,6.14352924330915e-13
"NDUFS7",125.625647422782,0.669952480279576,0.0884970656829162,4.77210750987968e-15,6.27567226574986e-13
"TASOR",341.178070652434,-0.476441450580525,0.0618900621875428,5.07590411381533e-15,6.62646314420344e-13
"ACO2",216.9473888142,0.574685479599059,0.0753159812401733,5.32999833332625e-15,6.90775508634348e-13
"FAM193B",366.023664449914,0.521594405141724,0.0680766276350379,5.47743248725218e-15,7.04776115356153e-13
"NFIC",338.626466978274,0.615728706584104,0.0812360979466274,6.24790321551099e-15,7.98169635781529e-13
"IRF3",284.088653166951,0.560285330220364,0.0736221202957432,6.71966954256532e-15,8.52349572828232e-13
"RABGGTB",87.3937779563118,-0.666452534088837,0.0887104953827245,7.57992452832209e-15,9.52710559010988e-13
"TCF25",510.836981356458,0.399568846549639,0.0519926685527548,7.61742297671631e-15,9.52710559010988e-13
"FBXL18",155.687344589609,0.560208222483644,0.0738370155789027,8.03732900466343e-15,9.98247425336149e-13
"ARL6IP5",342.478753047615,-0.478449972940496,0.0627927013430257,9.27431384930667e-15,1.1439386427231e-12
"STK17B",1148.46032640988,-0.574452878642004,0.0760211858509684,9.42006670112846e-15,1.14886119947926e-12
"U2AF2",345.571637301047,0.415655336883118,0.0543342099994649,9.44269479024051e-15,1.14886119947926e-12
"CBX3",128.177317405513,-0.67375473239396,0.0901748138668145,9.851401482278e-15,1.19048861831447e-12
"DNTTIP2",133.786297994103,-0.589628888857284,0.0782477855540644,1.01778011753033e-14,1.22167767798859e-12
"GTF3C1",307.530711733664,0.496762302601177,0.0655066690012845,1.12928999865705e-14,1.33415556851076e-12
"SLTM",242.186479469312,-0.456163170954356,0.0599758626023292,1.13386439146568e-14,1.33415556851076e-12
"ZC3H4",398.644157060135,0.594297134823485,0.0790363092804221,1.12094800425357e-14,1.33415556851076e-12
"VPS50",80.2039197422694,-0.638379605101921,0.0854689002222453,1.26181130612612e-14,1.4749996869324e-12
"SLC25A36",87.6869755835368,-0.678098399233228,0.0912344225820467,1.28497029059498e-14,1.49231776930462e-12
"CEP295",146.868438106767,-0.533879361890238,0.0708228556077768,1.33768679012328e-14,1.54351795105515e-12
"CTBP1",447.952183090127,0.710441765625562,0.0962413033878215,1.49544598513763e-14,1.71449047719144e-12
"PPP6R2",338.529411977594,0.395453558937832,0.0520844727141387,1.584998187783e-14,1.80558551519102e-12
"COPS2",71.0496233466192,-0.754439867823416,0.103102390168591,1.72376662095149e-14,1.94423507756756e-12
"SLF1",53.6766585682564,-0.735830256671769,0.100292930471198,1.72845053023898e-14,1.94423507756756e-12
"NFKB2",414.019951255233,0.482251434123738,0.0639975079996295,1.74089052364163e-14,1.94598918845816e-12
"UBE2K",130.184179639008,-0.548895274792804,0.0733016973699885,1.8157456967372e-14,2.01705663267981e-12
"E4F1",121.511991349169,0.665666242606334,0.0900463862150505,1.88445851703371e-14,2.08046546772518e-12
"MORF4L2",76.3177809519789,-0.58266807723372,0.0781682407670723,1.96314652898337e-14,2.15404145220047e-12
"RASAL3",473.709630653866,0.627014839023364,0.0846006180964788,2.08953852768139e-14,2.27874369314522e-12
"CICP14",198.012844685836,0.639429960396414,0.0865604908311205,2.32290162237725e-14,2.51196510509795e-12
"PIAS2",148.452262645469,-0.456817878006213,0.0608157751823887,2.33148564409427e-14,2.51196510509795e-12
"AXIN1",310.175967307419,0.534240223689178,0.0717756504135371,2.74939907239123e-14,2.94449116225851e-12
"CIITA",360.519976660047,0.907788290392856,0.12901848760142,2.76614303449389e-14,2.94478977213829e-12
"TAOK2",266.786596032111,0.50261667000936,0.0675224440026926,3.18969486341884e-14,3.37560311433408e-12
"SUPT5H",399.234080589713,0.505666734258756,0.067971560832973,3.24876586381426e-14,3.41789279260694e-12
"NCOR2",572.79074870414,0.7218031082932,0.0995016097874854,3.52984776577847e-14,3.69189048485075e-12
"EIF2A",107.086640814064,-0.683058951980712,0.0937519997718429,3.69709038033556e-14,3.84432915420357e-12
"PIGK",40.0839845063586,-0.798208750009448,0.11148182470397,3.73514092859002e-14,3.86144482704234e-12
"ZNF91",149.511468504626,-0.704835093652749,0.0971442658132273,3.95932910848844e-14,4.06968971869631e-12
"FASN",165.678244706531,0.895175386366308,0.127814986866849,4.06718028099042e-14,4.15665824717221e-12
"RBM26",322.971164973858,-0.429566266700875,0.0576467456351204,4.09806503225607e-14,4.16442574442612e-12
"ALKBH5",423.975708528284,0.51625373683441,0.0700113280325108,5.05708901480814e-14,5.10377783085586e-12
"HMGB1",276.53575057105,-0.705274689374375,0.097669804494979,5.0795216879639e-14,5.10377783085586e-12
"MEIS2",49.0101276338688,-2.922095228573,0.395378539145696,5.21376159070478e-14,5.20939251674609e-12
"MIIP",125.904620035166,0.787743099236263,0.110675251187503,5.55205583529802e-14,5.51658436746139e-12
"RLF",144.684805803604,-0.520254233218091,0.0707163524583973,5.63042936671631e-14,5.56354857589619e-12
"PRR12",386.970048252748,0.79117435022273,0.111469664345664,6.20926112717393e-14,6.10179314612669e-12
"TAPBPL",248.677637297938,0.500211856082205,0.0680360204833896,6.41509243904624e-14,6.26961356679465e-12
"SCRIB",146.013403390649,0.836364588048445,0.118957322204332,6.496918832097e-14,6.2898774292297e-12
"TMEM106B",222.380778418458,-0.555673887139647,0.0759795310192934,6.5061634017752e-14,6.2898774292297e-12
"ARFGAP1",266.923204808704,0.57938005951583,0.0794484120873422,6.68543489015877e-14,6.40126721164506e-12
"SLC16A7",207.473598603161,-0.588322762144308,0.0807513035418357,6.69296599707926e-14,6.40126721164506e-12
"ZNF638",560.186682380132,-0.487118828587278,0.0662589317275257,6.83087894460909e-14,6.49841861299646e-12
"EHD1",1255.30889249446,0.596042619256892,0.0819892473062202,7.19947392216667e-14,6.81283550782809e-12
"BRINP2",5.08518867051284,-5.1952427402591,0.719221907813623,7.32743146798348e-14,6.86131475418244e-12
"DEF6",568.348214787131,0.518746619875309,0.0708397019084072,7.31210726807179e-14,6.86131475418244e-12
"DCTN1",396.037387207912,0.488024965704181,0.0664940278848805,7.46065931556723e-14,6.94577790674148e-12
"LRCH4",800.739833277073,0.541655785775815,0.074157086259303,7.49530408723012e-14,6.94577790674148e-12
"AP1S2",156.35803594658,-0.714039976164657,0.0997574931953066,7.53716740039461e-14,6.94856901835348e-12
"EXOC7",540.704095978412,0.367947096513589,0.049744056772101,7.73083942029593e-14,7.09056733497399e-12
"MON1B",174.374671617448,0.737915780387573,0.103604180755168,8.10312082725667e-14,7.39409775487171e-12
"DNAJC5",757.421591736974,0.490507766323395,0.066989981209896,8.39022049809401e-14,7.61721287352342e-12
"UBE2N",120.538893677637,-0.629335332800802,0.0871617950379183,8.48822499009365e-14,7.66726787615277e-12
"DHX38",246.60594612895,0.469317962529307,0.0640236950144889,8.66285548900329e-14,7.7856869558203e-12
"ACTN4",1010.78975607739,0.685429967299961,0.0956957238576465,8.93864812706963e-14,7.99338608763202e-12
"PGGT1B",148.528591596163,-0.541873407624572,0.0744516706199916,9.07391451276555e-14,8.07397816222944e-12
"SRF",213.244354205125,0.551382656877916,0.0759041530560183,9.57946473911821e-14,8.48162014154105e-12
"CEP57",114.436009906093,-0.531694013382144,0.0730750772603252,9.7081013398635e-14,8.55317204253491e-12
"PCIF1",285.633779970625,0.460045582276905,0.0629421525940661,1.05629660009653e-13,9.2607179866306e-12
"PRKD2",455.330902848752,0.768777069244996,0.109164293785668,1.11567186312629e-13,9.73355671805543e-12
"VASN",87.8331286673638,0.69777908926569,0.098025054254055,1.12686163406458e-13,9.78345646856553e-12
"CCDC82",114.575331887682,-0.601493920562043,0.0835019647336447,1.13546949340523e-13,9.81056613021861e-12
"UBA7",439.691775335063,0.452538283775347,0.0620291146408208,1.20422906850064e-13,1.03546331202567e-11
"SF3B1",469.52247323761,-0.784334126848742,0.111883800747448,1.22404096466398e-13,1.04746280636436e-11
"PLD3",282.691645221975,0.613684380391051,0.0856136000169371,1.3660987475848e-13,1.16346076669306e-11
"EIF3A",155.674566042818,-0.671707881577131,0.0944394103251631,1.40907358953897e-13,1.19437351416609e-11
"MAN2B2",301.27098240152,0.568542611722241,0.0790900040602908,1.52257802526489e-13,1.27846516346772e-11
"NOTCH1",1934.12759474756,0.850988964974003,0.123573432599089,1.51584522251278e-13,1.27846516346772e-11
"STAT5A",488.906459848454,0.584696989898407,0.0815041088120384,1.5501259501981e-13,1.29551414108846e-11
"TAF9B",45.6583419854956,-0.737517526167669,0.104898093783381,1.5619460209526e-13,1.29932114347615e-11
"INPPL1",397.415892141978,0.461966097408764,0.0637782468254897,1.70332427136633e-13,1.41036826821235e-11
"NEMF",185.014687279509,-0.426514414858535,0.0587689665705452,1.77136723073034e-13,1.45994944339226e-11
"CTDP1",179.165694745632,0.738122318658488,0.105320782544577,1.82216028956315e-13,1.4880975698099e-11
"ZNF787",151.509482444465,0.629447790012628,0.0884662549960493,1.82024702638149e-13,1.4880975698099e-11
"CSNK1G2",564.356625749384,0.541274952515027,0.0754007525994324,1.88956174244865e-13,1.52917700288208e-11
